"q_game_clock","game_id","join_clock","ball_id","ball_team_id","ball_x_loc","ball_y_loc","p1_id","p1_team_id","p1_x_loc","p1_y_loc","p2_id","p2_team_id","p2_x_loc","p2_y_loc","p3_id","p3_team_id","p3_x_loc","p3_y_loc","p4_id","p4_team_id","p4_x_loc","p4_y_loc","p5_id","p5_team_id","p5_x_loc","p5_y_loc","p6_id","p6_team_id","p6_x_loc","p6_y_loc","p7_id","p7_team_id","p7_x_loc","p7_y_loc","p8_id","p8_team_id","p8_x_loc","p8_y_loc","p9_id","p9_team_id","p9_x_loc","p9_y_loc","p10_id","p10_team_id","p10_x_loc","p10_y_loc","event_id","shot_distance","action_type","eventtime","event_type","game_date","grid_type","htm","loc_x","loc_y","minutes_remaining","period","shooter_id","player_name","quarter","seconds_remaining","shot_attempted_flag","shot_made_flag","shot_time","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","shot_team_id","team_name","vtm","q_event_clock","name"
1200.98,"0021500118",215001181200,-1,-1,25.46592,39.6619,1717,1610612742,19.27651,34.89645,2734,1610612742,26.17811,40.1045,200826,1610612742,7.4727,47.07842,101111,1610612742,23.12007,14.11262,1626147,1610612742,2.65752,9.61083,1718,1610612746,13.3912,19.46913,2037,1610612746,11.0727,39.35138,101108,1610612746,6.75446,16.46398,2746,1610612746,16.94528,33.83558,203085,1610612746,20.87905,34.87657,106,24,"Jump Shot",197,"Missed Shot",20151111,"Shot Chart Detail","DAL",82.74,40.8234,3,1,2734,"Devin Harris",1,17,1,0,192.02,"3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.",1610612742,"Dallas Mavericks","LAC",1197,"join_clock_3"
1233.41,"0021500118",215001181233,-1,-1,83.79892,24.40338,2734,1610612742,82.17082,15.61085,101114,1610612742,75.68853,19.53079,101109,1610612742,80.89553,34.21879,2585,1610612742,78.84146,24.96384,101111,1610612742,84.38121,24.12453,2037,1610612746,79.48692,1.82894,101108,1610612746,66.26846,15.98451,2746,1610612746,63.38969,30.87374,201933,1610612746,83.34936,23.86556,203085,1610612746,76.95061,46.91874,95,2,"Turnaround Hook Shot",231,"Made Shot",20151111,"Shot Chart Detail","DAL",140.1497,207.3277,3,1,201933,"Blake Griffin",1,51,1,1,241.25,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612746,"LA Clippers","LAC",1231,"join_clock_2"
1241.29,"0021500118",215001181241,-1,-1,25.2269,11.53073,2734,1610612742,4.35008,1.80878,101114,1610612742,34.4953,29.75369,101109,1610612742,6.35914,48.34871,2585,1610612742,21.60788,21.32549,101111,1610612742,25.68372,10.53874,2037,1610612746,7.41429,10.12916,101108,1610612746,27.93367,29.6241,2746,1610612746,16.09392,22.83569,201933,1610612746,18.20737,19.74485,203085,1610612746,7.73091,38.56795,93,24,"Jump Shot",238,"Missed Shot",20151111,"Shot Chart Detail","DAL",140.1497,207.3277,3,1,101111,"Charlie Villanueva",1,58,1,0,241.25,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612742,"Dallas Mavericks","LAC",1238,"join_clock_3"
1250.87,"0021500118",215001181250,-1,-1,79.61518,38.60682,2734,1610612742,82.39399,23.56452,101114,1610612742,80.65925,35.01931,101109,1610612742,86.82264,41.74206,2585,1610612742,83.42538,26.42428,101111,1610612742,75.80255,20.01153,2037,1610612746,88.32676,1.31103,200755,1610612746,88.11378,48.05255,101108,1610612746,79.26168,38.67213,201599,1610612746,80.24406,24.89781,201933,1610612746,67.83888,13.5037,89,16,"Fadeaway Jump Shot",249,"Missed Shot",20151111,"Shot Chart Detail","DAL",140.1497,207.3277,4,1,101108,"Chris Paul",1,9,1,0,241.25,"2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.",1610612746,"LA Clippers","LAC",1249,"join_clock_1"
1261.44,"0021500118",215001181261,-1,-1,19.45014,31.61329,2734,1610612742,4.57898,1.21986,101114,1610612742,25.1842,11.44572,101109,1610612742,25.0073,5.42997,2585,1610612742,21.17965,32.32448,101111,1610612742,13.14042,47.55801,2037,1610612746,17.7224,10.16356,200755,1610612746,5.21774,11.9749,101108,1610612746,19.63502,18.55255,201599,1610612746,14.74805,25.69374,201933,1610612746,10.3558,34.41353,87,19,"Jump Shot",259,"Missed Shot",20151111,"Shot Chart Detail","DAL",129.3014,102.8933,4,1,2585,"Zaza Pachulia",1,19,1,0,251.23,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612742,"Dallas Mavericks","LAC",1259,"join_clock_2"
1293.54,"0021500118",215001181293,-1,-1,88.81172,21.61311,2734,1610612742,75.21803,31.32474,101114,1610612742,76.16105,23.3138,101109,1610612742,85.12353,32.72647,2585,1610612742,87.27587,24.03444,203939,1610612742,86.65831,19.68352,2037,1610612746,64.28529,38.82049,200755,1610612746,82.96268,48.37631,101108,1610612746,61.38335,26.17595,201599,1610612746,86.20381,29.47137,201933,1610612746,86.23445,22.87376,69,1,"Driving Layup Shot",292,"Made Shot",20151111,"Shot Chart Detail","DAL",-59.3765,38.8622,4,1,201933,"Blake Griffin",1,52,1,1,294.06,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612746,"LA Clippers","LAC",1292,"join_clock_1"
1312.41,"0021500118",215001181312,-1,-1,4.81084,38.13424,2734,1610612742,19.5142,4.57921,101114,1610612742,3.80615,28.12602,101109,1610612742,25.54167,38.57032,2585,1610612742,4.88303,39.39944,203939,1610612742,9.53864,22.2409,200755,1610612746,15.38947,29.80371,101108,1610612746,9.12989,22.57918,201599,1610612746,6.7347,27.06243,201933,1610612746,53.04886,21.73792,202362,1610612746,8.7969,12.97156,64,14,"Jump Shot",309,"Missed Shot",20151111,"Shot Chart Detail","DAL",-1.9837,167.8185,5,1,2585,"Zaza Pachulia",1,9,1,0,306.77,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612742,"Dallas Mavericks","LAC",1309,"join_clock_3"
1323.45,"0021500118",215001181323,-1,-1,13.37288,46.53439,2734,1610612742,16.91184,2.6071,101114,1610612742,30.99868,14.48474,101109,1610612742,14.5571,47.30167,2585,1610612742,20.32718,27.93594,203939,1610612742,4.97035,35.55334,200755,1610612746,15.25392,17.76724,101108,1610612746,19.44159,19.55251,201599,1610612746,8.78525,24.03414,201933,1610612746,9.98553,36.37178,202362,1610612746,9.72638,13.57987,59,5,"Jump Shot",323,"Missed Shot",20151111,"Shot Chart Detail","DAL",-220.1879,90.7405,5,1,203939,"Dwight Powell",1,23,1,0,323.33,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612742,"Dallas Mavericks","LAC",1323,"join_clock_0"
1327.93,"0021500118",215001181327,-1,-1,10.50177,26.49347,2734,1610612742,0.77645,0,101114,1610612742,23.57789,5.81034,101109,1610612742,9.43501,24.43797,2585,1610612742,33.75724,26.64074,203939,1610612742,9.79261,32.48974,200755,1610612746,12.76241,28.24875,101108,1610612746,14.97577,16.77167,201599,1610612746,17.50166,24.30215,201933,1610612746,8.60853,25.32516,202362,1610612746,5.45544,11.26334,59,5,"Jump Shot",323,"Missed Shot",20151111,"Shot Chart Detail","DAL",-220.1879,90.7405,5,1,203939,"Dwight Powell",1,23,1,0,323.33,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612742,"Dallas Mavericks","LAC",1323,"join_clock_4"
1335.69,"0021500118",215001181335,-1,-1,85.89814,27.9209,2734,1610612742,64.45863,22.48026,101114,1610612742,85.63902,18.73231,101109,1610612742,74.831,36.34629,2585,1610612742,88.34108,29.50981,203939,1610612742,86.61903,24.38129,200755,1610612746,67.09165,41.45997,101108,1610612746,49.48288,30.83404,201599,1610612746,89.15075,26.94148,201933,1610612746,68.97791,14.98375,202362,1610612746,88.30054,29.66004,58,2,"Layup Shot",333,"Made Shot",20151111,"Shot Chart Detail","DAL",-220.1879,90.7405,5,1,202362,"Lance Stephenson",1,33,1,1,323.33,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612746,"LA Clippers","LAC",1333,"join_clock_2"
